iter	Passed	Remaining
544	7533	47759
545	7580	47955
546	7622	48120
547	7667	48301
548	7708	48453
549	7743	48569
550	7785	48733
551	7817	48830
552	7844	48898
553	7879	49011
554	7921	49169
555	7951	49253
556	8047	49742
557	8084	49869
558	8123	50003
559	8152	50077
560	8183	50164
561	8211	50235
562	8253	50387
563	8282	50460
564	8323	50602
565	8343	50621
566	8356	50597
567	8366	50553
568	8376	50508
569	8385	50462
570	8395	50415
571	8405	50374
572	8416	50334
573	8425	50290
574	8434	50239
575	8448	50222
576	8462	50200
577	8473	50166
578	8484	50133
579	8498	50113
580	8509	50076
581	8522	50051
582	8534	50023
583	8546	49988
584	8559	49965
585	8575	49962
586	8587	49928
587	8595	49879
588	8606	49843
589	8618	49810
590	8627	49766
591	8637	49726
592	8648	49686
593	8658	49647
594	8670	49619
595	8683	49592
596	8692	49546
597	8704	49521
598	8716	49489
599	8728	49462
600	8738	49418
601	8749	49384
602	8758	49339
603	8768	49302
604	8778	49258
605	8788	49219
606	8797	49176
607	8808	49142
608	8817	49097
609	8827	49055
610	8836	49012
611	8846	48972
612	8857	48937
613	8867	48898
614	8877	48864
615	8889	48836
616	8900	48801
617	8910	48762
618	8920	48724
619	8930	48687
620	8940	48646
621	8950	48610
622	8960	48569
623	8970	48532
624	8979	48489
625	8989	48454
626	9016	48505
627	9026	48466
628	9036	48429
629	9045	48383
630	9055	48347
631	9064	48307
632	9076	48281
633	9087	48244
634	9099	48218
635	9109	48181
636	9118	48141
637	9128	48105
638	9139	48071
639	9148	48027
640	9157	47988
641	9166	47945
642	9176	47906
643	9187	47879
644	9197	47841
645	9208	47807
646	9216	47763
647	9225	47720
648	9235	47688
649	9245	47648
650	9254	47606
651	9263	47565
652	9274	47534
653	9283	47494
654	9293	47462
655	9305	47435
656	9313	47392
657	9323	47355
658	9333	47317
659	9345	47292
660	9355	47258
661	9364	47217
662	9374	47182
663	9382	47139
664	9391	47097
665	9399	47055
666	9412	47035
667	9424	47011
668	9437	46987
669	9449	46963
670	9461	46942
671	9474	46921
672	9487	46900
673	9500	46880
674	9512	46859
675	9524	46834
676	9539	46822
677	9551	46799
678	9560	46759
679	9569	46720
680	9579	46685
681	9589	46652
682	9597	46610
683	9606	46570
684	9616	46536
685	9626	46505
686	9636	46472
687	9646	46439
688	9656	46402
689	9666	46369
690	9677	46343
691	9690	46322
692	9700	46292
693	9712	46264
694	9721	46227
695	9731	46194
696	9740	46157
697	9750	46125
698	9760	46091
699	9770	46062
700	9780	46028
701	9789	45993
702	9800	45962
703	9809	45928
704	9819	45892
705	9827	45853
706	9837	45819
707	9846	45783
708	9857	45755
709	9865	45716
710	9876	45686
711	9885	45650
712	9896	45625
713	9907	45596
714	9917	45564
715	9927	45532
716	9935	45494
717	9945	45460
718	9955	45429
719	9963	45391
720	9980	45387
721	9992	45365
722	10002	45334
723	10011	45302
724	10020	45265
725	10029	45227
726	10038	45194
727	10048	45163
728	10060	45143
729	10070	45112
730	10081	45085
731	10090	45050
732	10101	45020
733	10111	44990
734	10120	44958
735	10130	44927
736	10143	44907
737	10152	44876
738	10163	44848
739	10171	44811
740	10180	44774
741	10190	44743
742	10199	44709
743	10208	44677
744	10219	44650
745	10228	44614
746	10238	44585
747	10247	44551
748	10259	44529
749	10271	44509
750	10281	44480
751	10291	44448
752	10300	44417
753	10309	44382
754	10318	44350
755	10327	44316
756	10337	44284
757	10346	44252
758	10355	44218
759	10365	44188
760	10375	44159
761	10388	44142
762	10400	44124
763	10413	44108
764	10426	44092
765	10438	44072
766	10450	44050
767	10463	44035
768	10475	44015
769	10487	43994
770	10500	43976
771	10517	43977
772	10529	43955
773	10539	43927
774	10549	43897
775	10558	43865
776	10566	43829
777	10576	43799
778	10586	43772
779	10596	43743
780	10604	43709
781	10614	43681
782	10624	43652
783	10634	43623
784	10644	43595
785	10653	43563
786	10667	43551
787	10678	43528
788	10689	43502
789	10698	43469
790	10709	43446
791	10719	43419
792	10729	43389
793	10739	43362
794	10749	43334
795	10757	43301
796	10766	43267
797	10775	43236
798	10785	43208
799	10793	43174
800	10802	43142
801	10812	43113
802	10820	43080
803	10829	43047
804	10837	43014
805	10847	42984
806	10855	42952
807	10867	42932
808	10879	42910
809	10889	42884
810	10897	42852
811	10907	42823
812	10917	42795
813	10925	42762
814	10934	42732
815	10944	42706
816	10974	42756
817	10984	42728
818	10993	42698
819	11002	42669
820	11012	42641
821	11021	42612
822	11031	42583
823	11040	42553
824	11049	42524
825	11060	42502
826	11069	42471
827	11081	42454
828	11094	42436
829	11105	42414
830	11114	42384
831	11122	42352
832	11131	42322
833	11141	42295
834	11150	42264
835	11159	42234
836	11169	42207
837	11179	42181
838	11188	42154
839	11198	42128
840	11208	42101
841	11217	42073
842	11226	42043
843	11236	42018
844	11247	41994
845	11259	41977
846	11275	41972
847	11304	42018
848	11331	42056
849	11364	42114
850	11414	42238
851	11455	42325
852	11495	42409
853	11534	42490
854	11574	42573
855	11614	42658
856	11659	42758
857	11704	42860
858	11745	42947
859	11785	43030
860	11830	43129
861	11869	43209
862	11909	43290
863	11991	43523
864	12059	43705
865	12101	43795
866	12135	43852
867	12174	43927
868	12215	44012
869	12252	44081
870	12292	44160
